HIP,RA,Dec,Vmag,pmRA,pmDE,Plx,RV
18455,59.15804911,-9.75084412,6.18,45.70,5.50,7.96,14.50
18471,59.21698585,22.47797113,5.62,69.78,-114.37,23.62,31.90
18481,59.25715895,6.03996684,6.09,37.07,-66.86,14.24,12.00
18482,59.25740507,-40.03693982,6.97,7.45,9.44,3.38,
18485,59.26586505,23.17555005,6.05,9.50,-15.10,4.79,25.00
18488,59.28453577,61.10888286,4.99,-3.18,-13.35,2.23,-3.99
18490,59.29702442,21.32354979,6.84,-7.07,-12.58,6.89,
18499,59.31786609,41.88062547,6.84,-17.60,-13.80,8.26,
18505,59.35602208,63.07226405,4.95,6.43,5.37,9.04,4.60
18508,59.35992165,24.46193743,6.19,-6.00,-7.90,3.13,-12.61
18518,59.39640996,36.49129054,6.98,77.62,-102.05,17.64,27.10
18532,59.46346140,40.01021467,2.90,14.06,-23.78,5.11,-1.00
18543,59.50735988,-13.50851533,2.97,60.80,-111.60,16.04,61.13
18545,59.51118478,72.72457417,6.63,-6.22,-1.22,4.16,-10.52
18547,59.51310014,34.81396833,6.54,23.35,-33.01,16.33,-2.00
18554,59.56347075,-49.60999441,6.94,16.35,36.54,5.62,
18565,59.62151967,38.84025403,6.32,40.58,-39.21,7.68,23.14
18592,59.67875705,-57.10235981,6.05,25.57,10.54,16.29,11.20
18597,59.68645594,-61.40018557,4.56,9.79,-14.24,6.20,-1.40
18602,59.70774943,57.45089047,6.96,31.88,-35.84,7.26,4.10
18606,59.71830773,-5.46994675,5.85,-46.33,-173.71,21.53,38.56
18614,59.74125467,35.79103260,3.98,1.50,2.10,2.62,65.40
18634,59.83211358,13.97504537,6.77,-9.65,-59.46,5.98,-73.00
18635,59.83452048,-43.91747299,6.83,21.74,-9.38,6.24,
18647,59.87554895,-12.57442477,5.61,-1.11,-37.77,4.44,-5.10
18656,59.90607756,-56.47282152,6.82,29.92,41.94,7.59,
18657,59.91655647,38.82038048,6.51,-4.20,-1.30,5.16,-1.90
18658,59.91872309,10.33040232,6.35,139.89,-6.59,24.98,38.90
18673,59.98118081,-24.01621526,4.62,12.12,16.48,9.96,25.50
18677,59.99727793,-61.89479659,6.70,16.85,-5.16,2.90,
18688,60.04351442,40.01372872,6.89,-3.09,4.38,5.10,-28.00
18691,60.06471130,-51.56495795,6.51,5.06,8.76,2.61,5.50
18717,60.15370022,17.29665964,6.31,1.24,-30.93,5.08,32.10
18723,60.16939835,-30.49069722,5.93,47.45,5.30,9.28,21.00
18724,60.17006562,12.49034659,3.41,-8.30,-11.90,6.74,13.40
18729,60.18200392,-71.16679946,6.60,24.62,33.89,9.96,2.30
18735,60.20318917,18.19399995,5.89,130.40,-27.10,23.31,27.90
18744,60.22419697,-62.15928428,4.48,3.01,34.70,6.95,-7.00
18748,60.23674861,23.20149110,6.52,16.80,-34.60,3.04,13.80
18762,60.27908291,20.19915836,6.76,31.76,-79.55,6.46,18.57
18769,60.31179518,36.98947734,6.39,-5.16,-2.22,8.25,-11.40
18772,60.32563108,-61.07882177,4.97,66.76,94.80,10.22,60.50
18788,60.38354244,-1.54965977,5.28,27.84,-14.32,7.88,15.70
18805,60.44223468,9.99801668,5.67,8.10,1.30,5.71,2.70
18824,60.51437135,-34.48215862,6.73,373.50,-12.30,19.35,10.21
18844,60.61236748,-61.35693978,6.74,337.30,103.70,38.59,39.60
18847,60.61698933,-78.63310889,6.63,20.98,-11.98,6.58,
18850,60.62174214,3.84722945,6.91,3.93,-5.40,5.03,
18859,60.65310384,-0.26892309,5.38,149.34,-252.83,53.10,17.62
18863,60.66028213,-0.80104431,6.93,10.50,-8.40,8.84,
18875,60.69605497,-22.59445936,6.90,7.32,-86.27,7.77,
18893,60.74795260,9.20848905,6.91,91.62,-165.25,22.03,27.80
18894,60.74923632,-48.36878456,6.95,6.88,14.47,3.41,
18907,60.78908352,5.98930513,3.91,4.50,-2.30,27.89,-7.00
18911,60.79410432,8.88264451,6.65,11.90,4.80,4.99,-35.04
18913,60.79641507,78.20276700,6.98,-8.64,-18.07,5.17,-50.39
18923,60.84215785,48.84085617,6.97,-1.77,-17.31,8.22,-49.20
18926,60.85311344,-20.14379611,6.47,-0.12,-1.46,3.28,20.00
18939,60.89114843,-25.84789495,6.57,-17.41,-6.54,2.09,
18950,60.91413094,-47.86188705,6.62,-9.67,12.40,8.08,
18957,60.93585228,5.43562441,5.32,2.33,-5.77,5.09,13.00
18975,60.98585128,8.19726936,5.45,165.05,26.67,28.69,38.20
18990,61.03628132,-16.58872807,6.36,94.67,-62.39,6.47,31.60
18993,61.04114570,2.82694713,5.36,150.21,-125.22,28.25,-18.30
19009,61.09030616,24.10599281,5.46,-0.44,-13.97,2.88,10.38
19011,61.09464958,-12.79229521,5.62,15.93,17.52,8.48,26.75
19018,61.11317347,59.15550727,5.00,-2.90,0.00,1.60,-20.30
19030,61.15414719,55.06646841,6.55,23.00,-38.50,16.29,-14.80
19036,61.16495820,17.51759831,6.64,-38.20,5.80,9.91,12.19
19037,61.17042699,-20.38186390,6.12,17.11,-12.80,7.99,-4.40
19038,61.17381506,22.08192566,4.36,91.70,-58.80,17.43,9.52
19039,61.17945721,32.57120357,6.87,5.30,-11.50,4.02,26.50
19070,61.30983266,-1.01181681,6.97,17.48,-35.29,17.40,-12.60
19076,61.33440892,22.00890535,5.90,172.20,-130.20,59.04,23.97
19089,61.40022631,34.23916455,6.64,40.07,-61.11,10.28,31.60
19091,61.40274212,-31.05096397,6.94,37.63,-21.83,14.53,34.30
19095,61.40598316,-27.65180738,5.59,200.46,94.19,22.20,63.30
19103,61.42326455,10.03712754,6.72,-15.57,5.88,7.36,
19111,61.44462918,-20.51256265,6.34,-27.81,-10.32,11.29,14.10
19121,61.48544616,-8.85610469,6.27,22.40,-8.30,13.11,28.10
19127,61.50894940,46.92556930,6.77,45.10,-49.23,10.73,44.00
19129,61.51325851,68.67997255,5.88,7.68,3.04,5.22,-48.23
19139,61.53360008,62.10183498,6.76,-1.09,-1.10,-0.15,-1.60
19167,61.64601411,50.35126182,4.25,-22.30,-46.50,7.73,6.10
19171,61.65171900,27.59990322,5.18,21.63,-52.15,7.76,2.30
19172,61.65265668,54.00866333,6.31,58.40,-99.40,12.37,-6.09
19174,61.65378179,-18.05080699,6.60,8.71,-15.01,4.72,
19177,61.66183820,65.52079786,6.14,19.97,-25.64,7.45,-3.70
19196,61.71344486,-49.62850162,6.86,56.74,22.17,9.82,28.20
19201,61.73261683,33.44636880,6.70,4.61,-5.70,3.43,31.10
19202,61.74220116,-21.99406247,6.65,15.48,-12.56,6.31,
19205,61.75189443,29.00129953,5.21,-91.78,7.25,36.23,9.00
19206,61.75232829,-10.00045432,6.88,-126.00,-148.00,24.49,-10.20
19222,61.79491166,74.00035891,6.49,26.46,-64.26,9.05,1.88
19226,61.81556017,-9.75782676,6.77,-8.82,-9.05,6.39,
19233,61.83975782,-64.22229100,6.37,196.70,333.70,42.32,31.10
19242,61.85517767,-42.91677722,6.59,1.00,14.90,7.29,-6.90
19243,61.85740044,74.63654125,6.80,26.37,-45.52,6.27,5.91
19249,61.87197450,-6.00737824,6.91,-2.58,21.99,8.01,
19256,61.90597641,-37.06195146,6.71,2.80,-1.19,2.78,
19261,61.92492939,15.16278798,6.02,131.90,-19.40,22.92,36.20
19272,61.96414402,62.33010205,6.95,-10.00,-1.60,-6.28,7.30
19284,61.99756702,17.33989656,5.89,7.90,-11.50,8.12,-31.63
19298,62.05463020,43.19113839,6.57,8.90,-19.97,7.66,14.10
19302,62.06411550,37.72749282,6.07,-99.91,-196.33,22.68,-44.35
19331,62.14115790,-45.86479908,6.58,70.60,22.80,18.82,8.50
19335,62.15256811,38.03973329,5.52,166.80,-203.10,47.63,26.35
19343,62.16537820,47.71251275,3.96,21.73,-33.61,6.84,9.50
19348,62.17535439,10.09935479,6.79,-18.31,-34.80,4.05,11.87
19356,62.19710121,50.20046560,6.95,-14.54,-5.69,5.57,
19361,62.21563774,23.87113823,6.97,52.03,-11.82,8.50,20.16
19363,62.22294548,23.09858331,6.87,10.14,-21.92,9.55,
19370,62.23671693,41.50401463,6.98,-10.38,-0.60,5.06,-9.10
19376,62.25653961,13.39828055,5.94,16.20,-11.20,8.03,-13.50
19388,62.29152955,19.60921676,5.51,106.75,-32.10,11.49,24.75
19398,62.32431519,-16.38587484,5.45,-0.91,0.77,5.00,17.40
19400,62.34264279,54.82886164,6.25,70.98,-92.67,22.50,-4.10
19402,62.34303467,73.57041086,6.76,-48.86,38.85,15.93,-29.00
19411,62.36343214,6.72505046,6.74,28.43,-56.15,10.96,15.00
19412,62.36488029,59.90807092,6.29,-5.20,-2.52,2.34,-12.50
19428,62.41190011,31.65212752,6.88,66.10,72.00,24.60,12.92
19434,62.42919556,3.32269690,6.49,-49.98,-59.84,16.03,-3.20
19440,62.45475108,-3.57350795,6.84,8.07,7.91,8.07,
19453,62.49576216,-25.04187063,6.95,54.47,18.78,7.06,
19454,62.50682624,86.62613867,5.84,143.38,-87.20,23.68,-10.40
19461,62.51143299,80.69868138,5.10,-15.00,1.00,8.59,4.00
19483,62.59384111,-6.92385241,5.44,1.75,-11.92,9.28,-9.40
19504,62.67651811,18.42325276,6.61,122.72,-31.39,22.62,36.10
19509,62.69112964,-35.27378725,6.43,-19.90,-26.53,3.80,27.50
19511,62.69902023,-8.81981407,5.70,47.30,2.54,11.40,29.60
19513,62.70775376,26.48095174,5.39,-31.40,-35.80,15.89,17.10
19515,62.71078866,-41.99357326,4.93,191.40,66.70,18.24,38.30
19525,62.74592063,33.58679214,5.75,-4.50,-14.50,3.32,19.30
19529,62.76415334,16.64698500,6.97,2.82,1.14,2.62,32.00
19550,62.80528941,41.74738490,6.98,37.56,-70.42,4.88,22.45
19554,62.83450749,5.52304720,5.71,147.70,5.20,27.04,38.30
19569,62.88186287,-0.42250100,6.59,3.08,-1.16,7.87,
19571,62.90084954,-20.35615701,5.80,45.71,49.79,12.35,32.80
19587,62.96641752,-6.83758114,4.04,11.01,81.83,26.80,11.00
19590,62.98390205,-8.83748537,6.45,67.70,5.30,6.31,39.60
19601,63.00113545,-17.27473213,6.41,20.56,-53.85,9.08,
19611,63.03864525,0.73559279,6.62,-6.30,13.90,6.87,
19619,63.05718681,79.03001712,6.92,40.44,3.73,5.16,-21.22
19626,63.08478289,-4.41027001,6.70,-17.86,5.57,3.25,
19641,63.13064454,17.27745965,6.09,49.68,-20.20,9.52,25.58
19642,63.13172142,-44.36823771,6.70,34.70,5.04,3.06,40.70
19666,63.20016127,-23.82117550,6.61,-7.05,-2.56,4.11,
19672,63.21352042,22.41345790,6.14,-2.48,-10.56,3.74,9.30
19673,63.21592557,68.50115452,6.33,-32.67,7.58,8.65,-20.77
19677,63.23433034,-6.38832365,6.76,16.83,-116.06,9.98,
19679,63.24351408,32.53272874,6.69,-5.93,-17.19,1.77,-46.08
19690,63.26370931,-23.12834047,6.78,-32.80,-23.30,11.15,
19704,63.31262752,-70.42044796,6.99,45.81,55.42,9.93,
19718,63.38019982,8.89028882,6.52,1.21,-27.59,12.64,7.50
19719,63.38793263,7.71604492,5.29,-1.60,5.80,27.52,2.40
19720,63.39404302,10.21245807,6.24,22.49,-23.94,7.56,10.00
19721,63.39883803,-40.35776359,6.36,10.37,31.40,3.43,59.40
19725,63.40895274,-1.14973703,6.45,2.66,-6.25,4.54,18.00
19727,63.42127135,49.09392301,6.92,14.69,-6.80,9.41,
19730,63.43676408,72.12614745,6.05,8.45,-33.06,6.90,-5.50
19736,63.45765387,12.75370109,6.25,13.82,-15.63,10.06,44.81
19740,63.48493908,9.26382406,4.84,-11.00,-37.30,9.83,-7.50
19741,63.48855405,-37.03039854,6.99,0.05,-12.79,4.33,
19743,63.49498972,-32.04206708,6.98,-8.98,-14.41,5.21,
19746,63.49872335,37.96714722,6.47,-49.81,5.98,6.61,29.00
19747,63.50047645,-42.29436792,3.85,42.01,-203.59,28.36,21.60
19758,63.54034811,-46.13243699,6.77,161.00,-102.90,22.16,31.20
19767,63.57622029,12.34810099,6.74,340.71,-60.49,26.75,42.80
19769,63.58273822,-38.26003290,6.92,33.37,50.78,5.81,
19777,63.59870269,-10.25628292,4.87,-11.70,-158.70,13.46,6.80
19780,63.60618205,-62.47385803,3.33,42.00,48.10,20.18,35.50
19785,63.61009534,23.69642228,6.77,-1.50,-10.30,2.38,
19799,63.65097556,10.01140644,5.22,-8.75,-14.45,8.34,7.00
19805,63.70227288,-62.19181137,5.45,-2.30,99.40,12.41,36.40
19810,63.71694561,37.54266994,6.31,-7.30,-3.45,6.47,-8.70
19811,63.72215672,40.48367149,4.67,7.90,-28.60,3.43,-4.50
19812,63.72442567,48.40933095,4.12,5.52,-17.39,3.62,26.46
19820,63.75121035,-16.18073177,6.94,-21.20,-31.02,15.23,5.40
19823,63.75747950,57.46036143,6.06,-3.14,0.66,2.33,-24.90
19836,63.79607896,-37.19689434,6.76,-22.00,3.20,6.21,
19849,63.81800057,-7.65287058,4.43,-2240.12,-3420.27,200.62,-42.32
19855,63.85744722,6.19965121,6.94,-102.63,-113.19,47.49,-7.40
19856,63.86146181,-16.44517366,6.87,-5.68,1.21,3.46,
19859,63.87000291,6.18685798,6.32,-111.10,-106.30,46.88,-7.40
19860,63.88357189,8.89235703,4.27,19.73,-22.04,7.16,16.30
19877,63.94284856,15.40069510,6.31,115.00,-21.90,22.02,36.40
19878,63.94298320,-23.23772886,6.73,36.43,32.00,9.03,
19881,63.96534454,-22.15141771,6.93,-13.07,-34.40,8.27,
19890,63.99752154,-84.18122928,6.99,78.90,49.83,6.36,
19893,64.00660681,-51.48664800,4.26,100.88,183.56,48.87,25.20
19917,64.08739702,-60.94848212,6.34,32.30,21.60,7.92,26.50
19921,64.12095285,-59.30215628,4.44,-47.53,-167.56,54.83,29.20
19949,64.17953476,53.61179910,5.20,-17.55,-2.06,9.98,-3.00
19960,64.20287224,16.21438543,6.57,-21.81,-25.21,7.24,34.20
19968,64.22314808,61.84998933,5.69,7.08,-20.45,7.31,0.40
19983,64.28374481,57.86035488,5.72,23.86,-49.03,12.53,-38.20
19985,64.29754487,5.02456676,6.91,-11.02,-15.71,4.81,
19986,64.30129141,50.86581526,6.59,1.03,-4.33,1.15,-1.81
19990,64.31525283,20.57859097,4.93,-39.50,-61.70,34.55,15.00
19996,64.33009240,-6.47217752,5.95,-15.09,-6.52,4.31,-1.70
20004,64.33781211,57.17825311,6.71,-19.06,-12.17,6.39,-5.20
20020,64.41780159,-63.25540535,5.88,5.40,7.70,7.08,3.00
20025,64.42927160,13.83659176,6.90,64.82,43.20,4.40,68.70
20037,64.46152408,67.08861055,6.89,14.90,-38.40,7.41,
20039,64.46585433,80.53578362,6.39,-12.34,9.53,3.13,-14.85
20042,64.47359293,-33.79834786,3.55,62.52,-7.24,18.33,17.80
20049,64.49697361,-80.21403275,5.67,27.60,61.50,7.70,-20.00
20063,64.53379498,42.14115930,6.22,23.12,-36.70,8.24,6.50
20069,64.55924697,-14.63879249,6.86,-6.07,-3.06,3.69,14.90
20070,64.56090838,50.29550228,4.60,45.90,-59.70,10.40,21.00
20075,64.56698763,-20.71525965,6.00,5.05,19.81,2.16,24.90
20087,64.59667564,21.57929684,5.64,98.10,-36.00,18.50,37.87
20089,64.60266643,9.48716168,6.54,-3.83,-15.08,6.18,28.00
20106,64.65621743,-22.96972192,6.09,51.28,44.74,11.13,-21.00
20109,64.66677107,-52.86009721,6.08,47.10,74.20,13.88,19.70
20138,64.76203477,-33.90461684,6.36,-6.80,29.70,9.80,17.50
20144,64.77633489,-79.52093982,6.96,-11.87,15.73,9.64,
20155,64.80454606,42.38119382,6.98,-20.92,-57.74,10.37,7.80
20156,64.80516403,50.04869508,5.46,61.66,-59.32,13.43,-16.50
20161,64.81956921,-44.26791929,5.33,62.98,-36.34,12.94,23.50
20171,64.85873910,21.14230672,5.50,29.65,-42.09,12.08,6.10
20179,64.87909319,-8.11956853,6.95,-5.24,-3.58,3.70,
20186,64.90294037,21.77349114,5.34,28.82,-41.21,10.00,12.40
20188,64.90590279,10.12143675,6.31,-17.83,-40.41,4.74,-27.07
20194,64.92670055,-25.02482513,6.86,13.72,-0.39,3.90,-26.30
20205,64.94834891,15.62764232,3.65,116.00,-22.70,20.19,38.56
20212,64.97345388,-12.39912769,6.72,20.55,5.39,5.14,
20215,64.97857648,16.52258834,6.85,117.10,-26.50,21.49,38.70
20219,64.99043425,14.03520115,5.58,116.30,-18.70,21.88,42.00
20225,65.01149971,78.07958700,6.95,7.47,-7.94,4.03,
20229,65.03781987,-16.43727311,6.80,22.00,-11.30,7.38,29.00
20231,65.04144790,31.95317454,6.16,-1.84,-13.16,4.44,-18.19
20234,65.04796980,50.92093297,5.55,1.18,-7.38,3.01,-17.80
20241,65.06012475,41.80806972,5.95,15.90,-31.10,8.12,27.80
20243,65.06376285,-2.62854791,6.89,25.67,-2.99,3.34,86.60
20250,65.08839870,27.35075361,4.97,-28.90,-78.24,10.16,1.27
20252,65.10265987,34.56672527,4.93,-24.98,-7.12,14.94,-26.81
20255,65.10462273,18.74260835,6.11,118.50,-40.70,20.70,40.30
20257,65.12043325,-1.31638628,6.78,-16.80,-29.00,10.54,
20261,65.15129355,15.09545334,5.26,108.31,-21.62,21.30,36.20
20263,65.16100864,-6.24599466,6.15,92.32,-55.66,16.32,7.00
20264,65.16255613,-20.63962187,5.38,25.84,-9.98,6.86,25.30
20266,65.16802237,65.14044145,5.26,-28.33,-4.99,10.21,-19.47
20268,65.17185742,6.13079800,5.76,-14.49,-44.74,9.04,5.60
20269,65.17227558,-16.82997603,6.97,24.02,11.54,2.94,98.90
20271,65.17847704,-7.59249348,5.85,3.39,-1.90,4.13,11.20
20281,65.20448682,9.22481813,6.52,57.86,12.43,9.63,39.00
20284,65.21966979,13.86442701,6.15,105.70,-19.40,21.09,39.20
20297,65.24194867,-81.57992035,5.78,9.32,125.90,19.21,9.10
20330,65.33172738,76.10610452,6.74,10.93,-18.93,3.59,6.00
20341,65.36266073,-0.09816957,5.86,-19.79,-126.19,6.99,-27.70
20347,65.38048045,-25.72857962,6.08,48.40,-52.60,17.02,21.90
20349,65.38187220,21.03987704,6.79,105.19,-35.61,19.14,38.20
20350,65.38445261,18.41758241,6.80,111.21,-32.16,20.06,37.00
20354,65.38819502,46.49887790,4.80,20.14,-35.35,6.43,7.30
20357,65.39498099,14.40978917,6.60,104.40,-19.46,19.09,39.80
20360,65.40630884,-6.28417164,6.45,3.35,-13.54,4.75,-0.50
20372,65.44026775,-37.78184201,6.53,-8.21,-43.04,4.40,
20373,65.44295420,2.39010357,6.92,20.87,-141.08,18.10,-11.00
20376,65.44854484,60.73562541,5.40,55.59,-114.55,7.31,25.16
20380,65.46585794,56.50631755,5.91,-14.05,6.68,10.31,-13.00
20384,65.47219466,-63.38639132,5.24,85.54,174.62,8.48,45.00
20400,65.51465927,14.07719850,5.72,113.30,-21.97,22.53,39.21
20417,65.59470757,20.82141589,5.91,1.70,-1.60,1.40,-7.31
20430,65.64559841,25.62931425,5.38,19.44,-17.17,11.20,13.99
20440,65.68404698,15.05609149,6.97,113.60,-26.00,22.92,38.20
20446,65.71257960,-82.89907770,6.77,-13.10,3.90,9.93,-1.60
20455,65.73372189,17.54251420,3.77,107.70,-28.40,20.96,39.42
20456,65.74145460,59.61618188,6.18,35.06,-44.94,7.04,17.00
20465,65.77363984,-24.89215684,5.81,15.00,-15.60,6.51,30.30
20467,65.78232023,-35.54481535,6.38,-1.64,10.54,3.54,16.50
20472,65.82019885,11.37792207,6.64,24.70,-38.10,11.46,
20484,65.85442658,16.77725981,5.64,105.46,-27.86,20.04,39.61
20493,65.88486187,20.98204451,6.00,17.10,-35.40,5.88,9.00
20498,65.89923246,42.42790921,6.25,20.82,-35.28,5.64,5.70
20507,65.92021811,-3.74547033,5.17,-47.40,-55.18,15.60,-4.50
20522,65.96593830,9.46096761,5.10,-20.37,-5.38,8.24,-8.70
20529,65.98276300,-66.73711758,6.98,28.70,60.00,9.89,
20533,65.99900779,24.30099180,6.34,5.20,-10.20,3.59,7.20
20535,66.00923865,-34.01684639,3.97,71.00,55.10,11.01,24.10
20542,66.02400423,17.44413026,4.80,109.90,-32.20,20.21,38.80
20552,66.05086491,-57.07133667,6.28,-102.20,-71.00,36.10,-4.60
20556,66.05807914,51.93709454,6.84,-15.87,-9.71,6.48,-1.20
20558,66.06034363,12.15798697,6.42,15.11,-23.84,5.26,15.68
20567,66.09280285,17.07895138,6.96,97.61,-27.41,18.69,39.80
20579,66.12147997,34.13075775,5.73,21.02,-33.98,7.28,8.50
20586,66.13663962,50.84517444,6.87,6.50,-63.00,21.44,
20591,66.15609410,33.95968652,5.77,45.80,-74.50,24.62,-31.80
20613,66.23520826,-34.75747747,6.55,-13.10,-106.10,11.14,6.60
20614,66.23803343,19.04201331,5.97,109.40,-34.52,19.79,31.70
20619,66.27223872,-61.23819356,5.94,-18.90,22.37,4.65,-19.00
20630,66.32966493,-44.16089705,6.38,27.14,65.63,27.11,14.90
20635,66.34235536,22.29387370,4.21,107.60,-44.40,21.19,37.30
20641,66.35423116,22.19999802,5.27,113.60,-45.60,22.03,32.00
20648,66.37243249,17.92791025,4.30,116.90,-33.50,21.96,39.00
20650,66.37372639,-53.11181679,6.91,41.33,27.46,7.36,
20661,66.40548764,15.94100999,6.44,105.10,-24.70,21.20,39.60
20667,66.41499626,-1.41091467,6.76,-10.50,-19.40,7.27,
20675,66.42629911,-9.92663386,6.66,5.45,-1.68,0.98,
20698,66.50561867,4.37345085,6.37,18.80,-15.00,4.59,32.07
20704,66.52629107,31.43891123,5.29,76.65,-121.37,12.88,28.52
20711,66.57693136,22.81358255,4.28,110.30,-46.70,21.21,32.20
20713,66.58642154,15.61826526,4.48,111.20,-26.60,20.37,40.80
20715,66.58792878,8.59026862,6.06,2.81,-6.05,5.05,12.00
20727,66.62717207,-32.81629782,6.81,35.36,9.67,18.26,
20732,66.65155089,14.71378193,4.69,-6.70,-30.30,7.83,31.40
20735,66.65705607,-40.52937773,6.70,1.68,21.12,7.86,
20756,66.71305407,17.02863205,6.86,27.46,-51.76,5.78,8.47
20761,66.72174460,-18.65615102,7.00,92.09,14.86,14.25,18.80
20765,66.73720810,-24.08132265,6.11,-8.50,-19.40,10.24,-4.50
20771,66.75290995,2.07940923,6.23,72.60,-57.90,9.49,22.16
20772,66.75363526,57.58528970,6.28,8.00,-14.40,4.38,-1.60
20776,66.76225830,80.82415938,5.42,12.22,-20.56,3.37,-9.10
20780,66.77024999,18.20753729,6.94,2.30,-14.50,9.39,19.50
20781,66.77489092,-46.94750508,6.10,66.52,-275.40,30.18,15.00
20784,66.77685987,-62.79962312,6.87,-5.98,14.48,7.59,
20789,66.82269784,22.99633661,5.53,-0.46,-14.57,8.63,7.30
20791,66.82618277,36.52028611,6.76,6.62,-26.81,6.50,
20800,66.85293887,46.85315434,6.72,80.88,-304.50,35.48,34.71
20804,66.86986896,11.21230000,5.87,-1.80,-10.60,5.55,23.00
20825,66.94178419,-62.52120577,5.74,-13.90,2.80,9.11,0.70
20829,66.94790509,-11.12432796,6.97,-7.50,7.80,2.80,
20836,66.98069047,-21.50406398,6.75,-18.00,-34.50,9.93,-7.50
20842,67.00326498,21.61990692,5.72,99.30,-42.40,21.22,37.90
20848,67.01515795,1.85860519,6.14,27.81,6.76,10.61,31.70
20852,67.02222810,8.15480219,7.00,-1.20,-8.33,5.40,
20854,67.02988775,-15.18033065,6.69,-9.06,33.02,14.72,28.10
20856,67.03943246,-41.95983283,6.41,-11.40,4.40,2.74,97.90
20860,67.05530219,83.80779018,5.51,-7.30,10.50,4.31,-7.00
20873,67.09751196,14.74097429,5.90,105.30,-19.40,17.37,44.20
20877,67.10987536,16.35967226,4.96,5.50,20.10,17.47,16.24
20884,67.13383172,1.38082076,5.53,18.05,-21.19,8.52,18.00
20885,67.14373289,15.96218073,3.84,107.40,-24.30,21.13,38.79
20889,67.15416474,19.18043155,3.53,106.70,-35.60,22.24,38.43
20892,67.16265745,-19.45887385,5.95,36.81,-113.28,10.58,26.00
20894,67.16558676,15.87088266,3.40,108.54,-26.79,21.69,38.90
20901,67.20901684,13.04760240,5.02,105.52,-15.00,20.47,37.30
20904,67.21663399,30.36149171,6.38,22.68,-21.00,18.42,-41.58
20916,67.24905064,16.15909200,6.59,104.70,-24.50,20.65,35.80
20922,67.27885610,-13.04836956,5.61,-0.15,-0.24,2.15,22.00
20933,67.33264163,27.40422329,6.53,10.69,-28.33,7.99,20.00
20934,67.33369379,-46.51527006,6.13,51.69,36.42,8.16,10.70
20948,67.37646055,17.86316342,6.90,105.63,-32.58,21.55,37.50
20953,67.38597613,-26.27586327,6.78,32.47,28.77,4.19,
20958,67.41225207,5.16426807,6.93,17.94,-17.53,3.59,-6.08
20963,67.42856585,10.52185959,6.77,-0.39,2.21,4.31,22.10
20974,67.46640760,69.37831230,6.63,13.61,-35.38,4.10,36.29
20982,67.50151557,83.34037923,5.47,-47.42,102.06,10.61,-26.81
20985,67.50954139,10.26221428,6.47,-24.90,-79.00,8.37,-62.40
20995,67.53582507,15.63784050,5.58,110.60,-28.30,21.82,29.30
20997,67.54168167,-13.59237223,6.22,17.81,1.05,6.96,13.60
21010,67.58356880,28.13188865,6.51,140.39,47.78,25.93,24.80
21029,67.64013694,16.19401446,4.78,104.70,-25.10,23.15,38.10
21032,67.64062958,-23.02438820,6.83,0.60,-2.20,8.85,
21036,67.65568103,13.72440227,5.40,108.70,-20.00,22.12,38.80
21038,67.66003258,32.45776811,6.18,8.20,-16.00,8.69,15.60
21039,67.66204071,15.69187925,5.47,104.60,-26.60,22.26,40.02
21042,67.66804354,-35.65350415,5.95,0.00,31.00,8.30,-8.20
21053,67.69498403,16.14869610,6.50,104.00,-26.50,24.09,42.10
21060,67.70874876,-44.95374954,5.07,1.76,-3.16,4.63,14.20
21062,67.72032611,44.60294264,6.99,-9.78,-47.38,6.87,-40.48
21078,67.76699467,6.79132848,6.78,-69.58,-93.02,11.89,
21082,67.77996149,15.10503692,6.28,43.69,-52.46,5.96,38.37
21108,67.85041188,40.01019287,6.25,-0.50,-14.30,1.91,-11.60
21110,67.85771196,-13.64422195,6.25,-17.31,-42.46,8.86,-12.50
21135,67.96020455,5.76444644,6.68,15.63,-19.50,5.30,
21137,67.96565941,15.85156000,6.01,106.68,-32.05,22.14,36.00
21139,67.96944698,-0.04401101,4.91,-2.05,-8.21,4.97,16.30
21144,67.98727658,36.74268817,6.35,4.88,-67.10,8.62,6.38
21147,67.99924001,-20.69947308,6.76,12.32,-29.44,3.09,
21148,68.00766596,53.91083011,5.78,1.30,-2.10,-1.53,-7.00
21152,68.02003784,5.41003499,6.37,113.37,8.09,22.99,40.30
21167,68.07188143,37.04324270,6.80,30.60,-7.98,22.96,20.50
21192,68.15647223,-3.20954083,5.76,18.00,-15.70,6.86,18.40
21218,68.27634045,-12.54338855,6.67,-28.06,-35.79,8.02,
21219,68.27968647,67.63143206,6.94,13.60,-20.00,7.78,-0.90
21236,68.32931591,64.16978955,6.86,5.56,27.33,5.54,-73.00
21238,68.34003618,43.03192119,6.80,24.20,-59.00,14.13,2.20
21239,68.34202526,-10.78533350,6.06,1.80,31.00,4.39,-3.20
21242,68.35376481,43.06389322,6.09,5.80,4.50,16.90,-23.00
21247,68.37782750,72.52860478,5.94,29.81,-91.11,9.83,9.00
21248,68.37730272,-29.76649190,4.49,-114.77,-271.74,25.67,20.60
21249,68.38181552,-6.98808341,6.60,-9.79,23.13,5.39,
21251,68.38770493,18.01672222,6.24,5.30,-18.90,7.45,-14.70
21253,68.39145868,-62.82367752,5.79,-117.19,-19.00,22.15,30.80
21257,68.40869728,16.32333939,6.58,13.31,-16.39,13.00,24.00
