HIP,RA,Dec,Vmag,pmRA,pmDE,Plx,RV
737,2.26530890,40.84285922,6.93,126.52,-172.07,16.86,
746,2.29452113,59.14977960,2.28,523.50,-179.77,59.58,4.30
760,2.33406550,79.71454544,6.01,106.10,-33.20,9.48,-3.00
761,2.33778595,-27.98792818,5.42,78.00,-16.50,12.91,7.70
765,2.35267495,-45.74742618,3.88,117.10,-179.30,22.62,-9.20
798,2.46715583,-62.29679433,6.34,16.89,17.49,7.56,23.20
803,2.47925234,-2.56126599,6.84,3.33,-14.95,2.67,18.00
813,2.50917617,11.14581307,5.54,30.20,4.20,10.68,13.40
814,2.50906524,-82.22404699,5.29,-21.66,-20.40,12.81,15.00
829,2.53340406,-78.30071698,6.97,8.30,-23.27,3.62,
840,2.57862406,-5.24858764,5.84,36.75,-29.19,17.15,23.80
841,2.58019098,46.07227168,5.01,5.46,0.32,2.65,-8.20
857,2.62367037,57.16549458,6.74,19.36,-0.69,5.57,1.80
858,2.63499513,33.13088444,6.83,-25.88,-1.71,3.27,-15.05
860,2.64441748,59.67340678,6.70,7.25,-2.83,1.82,-3.00
865,2.66064615,-73.22438924,6.66,123.30,19.70,14.20,-14.70
873,2.67847777,-12.57989671,5.84,148.92,-39.11,13.33,8.20
881,2.69542064,-34.86071509,6.89,85.44,-1.05,6.02,
902,2.78272723,57.58794136,6.68,-37.29,11.00,3.22,-16.90
906,2.79019421,-3.32138885,6.74,27.94,-12.08,4.95,
910,2.81607181,-15.46797744,4.89,-82.98,-270.23,53.34,14.81
930,2.89341697,-27.79973666,5.41,4.60,16.20,4.11,-5.60
932,2.89718436,-18.60065700,6.93,41.36,8.42,6.23,-11.00
950,2.93336928,-35.13311958,5.24,169.76,114.63,47.00,-21.10
966,2.98356939,-42.17214423,6.53,-88.11,-43.95,8.41,
967,2.99618790,48.15239646,6.18,60.67,10.05,4.95,14.25
969,3.00573047,23.47174939,6.58,86.43,3.72,6.46,8.57
973,3.01258669,-13.81317915,6.56,-3.60,-17.86,5.14,
981,3.03370206,53.62388777,6.87,33.60,-7.00,8.34,4.00
983,3.04160825,-17.93827767,5.29,56.03,-25.21,5.24,-12.40
1009,3.14235425,44.70719512,6.50,95.70,-22.20,7.10,-37.50
1026,3.20017906,46.09540496,6.63,94.71,-13.40,18.35,-4.80
1030,3.20935326,37.69365645,6.71,1.67,-2.64,1.80,-5.50
1046,3.26632082,-22.47017326,6.66,3.00,17.60,4.92,-16.00
1057,3.28959755,16.92145623,6.52,-17.78,-80.91,7.72,7.37
1063,3.30304253,62.04087815,6.63,72.65,-19.38,8.33,-12.50
1067,3.30897012,15.18359590,2.83,1.98,-9.28,8.33,3.20
1074,3.33175776,-84.99397839,5.78,10.82,17.61,3.35,4.00
1076,3.34967881,26.98754547,6.24,-13.60,-34.00,7.61,-8.58
1086,3.37850157,41.03536964,5.71,-123.22,-146.41,28.65,-27.10
1096,3.42602016,-26.02234535,5.94,38.11,-78.61,2.52,-29.50
1099,3.43490610,-26.28495899,6.14,-3.45,10.16,3.77,18.60
1101,3.43786611,-48.68418722,6.97,-16.69,-21.42,9.47,
1102,3.43957713,-23.21478375,6.86,126.77,-75.15,6.38,-88.00
1107,3.44823143,1.38358589,6.79,-25.75,-14.52,3.97,-4.07
1118,3.48414180,59.99931868,6.91,7.93,-9.48,2.58,-3.30
1123,3.50950466,33.20603919,6.22,-8.96,-19.29,9.69,0.90
1126,3.51736898,-74.91200177,6.97,48.05,24.02,2.81,
1133,3.53762406,26.25879760,7.00,59.60,-23.90,8.83,-11.90
1140,3.56128143,-55.06966170,6.66,-3.21,-29.96,22.12,17.00
1146,3.58673068,-62.77195152,6.63,7.32,10.44,2.52,
1147,3.58666748,-21.19696207,6.89,-75.26,-233.58,18.02,-13.90
1158,3.61511753,-7.78053210,5.13,60.90,4.50,5.60,0.40
1161,3.61676102,-14.43178506,6.95,-78.41,-126.29,13.37,1.60
1164,3.64056888,41.03264235,6.68,56.34,24.34,5.01,
1168,3.65068528,20.20670177,4.79,90.72,1.22,8.86,-46.60
1170,3.66006652,-18.93286561,4.44,-26.17,-73.61,7.29,-22.90
1176,3.66859618,-14.80523972,6.63,123.43,-40.22,8.07,-29.80
1185,3.70087305,-14.17769899,6.82,-71.04,-47.67,11.25,-8.50
1191,3.72714477,-9.56957107,5.77,23.65,-7.80,9.63,19.90
1192,3.73234416,-3.02741240,6.64,-56.25,-25.47,4.91,
1193,3.73291262,22.28422511,6.25,44.86,-10.87,7.10,15.00
1195,3.74275886,-34.90422288,6.17,76.17,-11.85,5.14,-52.20
1196,3.74516393,8.82096213,6.02,100.80,-26.30,12.86,2.60
1208,3.77895988,31.53572466,6.34,32.73,-4.85,3.49,1.92
1215,3.79401779,27.28343979,6.35,15.31,-15.99,7.40,-4.00
1233,3.82430324,44.20339681,6.76,6.10,-2.30,3.02,-6.00
1249,3.91094493,5.84384718,6.98,40.60,-0.40,5.73,
1268,3.97872374,-75.91161530,6.49,-17.26,-1.95,5.28,15.90
1269,3.97852674,61.00017237,6.43,-20.26,-10.86,7.52,-17.00
1288,4.03694261,-31.44639410,5.66,118.40,-25.90,6.57,26.30
1292,4.05282292,-79.85118159,6.59,433.92,-56.74,57.15,-2.10
1296,4.05806563,76.95075506,6.35,17.80,1.40,5.20,-4.80
1302,4.08970517,43.59504921,6.12,36.60,-20.00,9.39,3.00
1319,4.14183649,8.24015427,6.12,-26.60,-16.20,8.00,0.07
1325,4.16426196,1.85060694,6.98,4.74,12.37,4.08,-7.41
1330,4.17526754,-32.68843529,6.67,-26.99,-25.19,6.69,30.00
1331,4.17643017,-20.21006086,6.50,-7.98,-1.93,5.47,12.00
1333,4.17927056,36.62981249,6.99,-31.90,-22.90,7.91,2.00
1339,4.19032459,10.24477797,6.51,3.79,9.40,3.26,15.01
1342,4.20157391,-78.78015363,6.78,61.87,-25.07,9.54,-12.50
1349,4.22456152,-52.65114872,6.84,312.90,180.90,44.25,-11.70
1352,4.22482428,49.46191488,6.52,-16.60,-5.66,1.90,7.24
1353,4.22916178,23.25619334,6.95,40.89,-15.93,6.34,11.27
1354,4.23768117,61.53318556,5.74,-6.08,-3.41,5.26,-1.70
1366,4.27290947,38.68163564,4.61,-53.40,-13.50,10.56,-8.80
1372,4.28768216,47.94740530,5.86,3.81,-3.76,2.91,-9.20
1392,4.35228283,8.87651746,6.66,75.32,75.53,15.31,30.60
1402,4.38626266,-19.05109159,6.46,20.49,-2.55,20.62,-3.90
1415,4.42942381,51.43309028,6.11,-5.90,-1.50,1.36,-31.10
1421,4.44874114,1.68872709,6.19,91.00,9.38,8.52,-9.42
1429,4.46350506,20.22699418,6.91,12.90,-11.90,1.84,10.08
1439,4.48460751,12.77146612,6.54,-7.99,-19.26,6.96,0.20
1444,4.49529558,-13.45564033,6.51,396.74,-0.71,36.74,28.31
1456,4.53840084,46.21431265,6.83,30.60,-17.03,4.88,-7.83
1464,4.57061646,-21.13845980,6.69,-1.10,-5.50,5.50,12.00
1465,4.57185740,11.20621385,6.07,-31.93,-28.61,6.50,9.18
1469,4.57678643,-36.50988390,6.67,18.82,4.79,4.62,1.00
1473,4.58190370,36.78522405,4.51,-65.65,-42.01,24.20,-8.20
1486,4.61991838,62.20277496,6.97,-1.57,-12.67,2.92,-33.26
1493,4.65940621,31.51722681,5.88,57.58,-2.79,6.00,-5.30
